F2 | F2-PC-05 | HEARTBEAT OK
F5 | F5-FIREWALL | PACKETS RX 569
F3 | F3-FILE-02 | AUTH FAIL user=reception
F1 | F1-CAM-02 | PACKETS RX 434
F2 | F2-PC-02 | PACKETS TX 279
F1 | F1-CAM-03 | FLOW NORMAL -> F1-WIFI
F2 | F2-PC-03 | HEARTBEAT OK
F2 | F2-PC-04 | LOGIN FAIL user=guest
F5 | F5-BADGE | DEVICE IDLE
F4 | F4-DEV-01 | AUTH FAIL user=admin
F2 | F2-PRINTER-01 | SYNC OK
F2 | F2-PC-01 | PACKETS TX 176
F2 | F2-PRINTER-04 | AUTH FAIL user=guest
F5 | F5-BADGE | DNS OK
F2 | F2-PC-07 | SESSION ACTIVE
F5 | F5-BACKUP | SYNC OK
F4 | F4-DEV-02 | HEARTBEAT OK
F5 | F5-AUDIT | ACCESS OK
F2 | F2-SWITCH | LOGIN FAIL user=dev
F3 | F3-PC-04 | LINK ACTIVE -> F4-FILE-02
F3 | F3-PC-01 | FILE READ
F2 | F2-SWITCH | PACKETS RX 356
F2 | F2-PC-08 | FILE READ
F4 | F4-DEV-02 | PACKETS RX 279
F3 | F3-PC-05 | AUTH FAIL user=reception
F3 | F3-PC-06 | LOGIN FAIL user=guest
F2 | F2-PC-05 | FILE READ
F2 | F2-SWITCH | ACCESS OK
F2 | F2-PC-07 | SESSION ACTIVE
F2 | F2-PC-06 | SYNC OK
F2 | F2-PC-07 | LINK ACTIVE -> F3-PC-03
F3 | F3-PC-05 | LINK ACTIVE -> F2-BADGE
F4 | F4-PC-06 | FLOW NORMAL -> F3-PC-01
F3 | F3-PC-09 | AUTH FAIL user=dev
F1 | F1-KIOSK | DNS OK
F2 | F2-PC-05 | HEARTBEAT OK
F4 | F4-DEV-02 | AUTH FAIL user=admin
F3 | F3-BADGE | LOGIN OK user=staff
F2 | F2-PC-09 | AUTH FAIL user=admin
F3 | F3-PRINTER-01 | FILE WRITE
F4 | F4-PC-04 | ACCESS OK
F4 | F4-SW-01 | DNS OK
F2 | F2-PC-09 | DNS OK
F4 | F4-PC-05 | DEVICE IDLE
F2 | F2-SWITCH | SYNC OK
F5 | F5-FILE | LOGIN FAIL user=admin
F4 | F4-FILE-02 | LINK ACTIVE -> F3-PC-06
F1 | F1-KIOSK | FILE WRITE
F4 | F4-CLOUD-02 | SESSION ACTIVE
F1 | F1-CAM-04 | LINK ACTIVE -> F4-CLOUD-01
F5 | F5-DOMAIN | PACKETS RX 212
F4 | F4-DEV-02 | AUTH FAIL user=admin
F2 | F2-PC-09 | PACKETS RX 290
F2 | F2-PRINTER-03 | FILE WRITE
F1 | F1-RECEPTION-01 | LOGIN FAIL user=dev
F1 | F1-WIFI | LOGIN OK user=admin
F3 | F3-FILE-02 | SYNC OK
F4 | F4-SW-02 | DNS OK
F3 | F3-PC-09 | LOGIN FAIL user=reception
F3 | F3-PC-08 | SESSION ACTIVE
F5 | F5-FINANCE | SYNC OK
F4 | F4-SW-01 | FLOW NORMAL -> F1-RECEPTION-02
F3 | F3-PC-04 | LOGIN FAIL user=reception
F3 | F3-PC-02 | FLOW NORMAL -> F2-PC-05
F3 | F3-PC-08 | DEVICE IDLE
F5 | F5-AUDIT | ACCESS OK
F2 | F2-PC-03 | ACCESS OK
F5 | F5-AUDIT | PACKETS RX 768
F4 | F4-DEV-01 | HEARTBEAT OK
F1 | F1-WIFI | AUTH FAIL user=staff
F3 | F3-PC-10 | ACCESS OK
F3 | F3-PC-05 | SESSION ACTIVE
F5 | F5-HR | HEARTBEAT OK
F2 | F2-PC-10 | HEARTBEAT OK
F3 | F3-PRINTER-01 | FILE WRITE
F3 | F3-SWITCH | HEARTBEAT OK
F5 | F5-FINANCE | DNS OK
F2 | F2-PRINTER-04 | AUTH FAIL user=admin
F4 | F4-FILE-01 | ACCESS OK
F3 | F3-PC-08 | DNS OK
F4 | F4-DEV-01 | DEVICE IDLE
F2 | F2-PC-03 | FILE READ
F5 | F5-BADGE | DNS OK
F3 | F3-PC-05 | PACKETS TX 50
F3 | F3-SWITCH | DEVICE IDLE
F5 | F5-BADGE | SYNC OK
F5 | F5-CORE-SW | PACKETS TX 508
F3 | F3-PC-03 | FILE WRITE
F1 | F1-RECEPTION-02 | AUTH OK user=guest
F2 | F2-PC-08 | SYNC OK
F4 | F4-DEV-02 | LINK ACTIVE -> F3-BADGE
F4 | F4-CLOUD-02 | FILE WRITE
F5 | F5-CORE-SW | AUTH OK user=guest
F4 | F4-SW-01 | FLOW NORMAL -> F3-PC-02
F3 | F3-PC-01 | DNS OK
F4 | F4-PC-03 | AUTH FAIL user=guest
F3 | F3-PC-06 | HEARTBEAT OK
F4 | F4-DEV-02 | AUTH FAIL user=admin
F4 | F4-SW-02 | DNS OK
F2 | F2-PC-02 | PACKETS TX 246
F2 | F2-PC-06 | AUTH OK user=admin
F5 | F5-CORE-SW | SYNC OK
F1 | F1-CAM-02 | LOGIN FAIL user=admin
F5 | F5-FIREWALL | SESSION ACTIVE
F1 | F1-KIOSK | LOGIN FAIL user=staff
F4 | F4-DEV-02 | PACKETS TX 106
F2 | F2-PC-02 | SYNC OK
F3 | F3-PC-09 | HEARTBEAT OK
F4 | F4-FILE-01 | DEVICE IDLE
F4 | F4-PC-01 | LOGIN OK user=dev
F2 | F2-PRINTER-02 | HEARTBEAT OK
F2 | F2-PC-03 | HEARTBEAT OK
F3 | F3-PC-09 | DNS OK
F2 | F2-PRINTER-03 | SESSION ACTIVE
F3 | F3-PC-03 | LINK ACTIVE -> F2-PRINTER-03
F2 | F2-WIFI | DNS OK
F2 | F2-WIFI | FLOW NORMAL -> F3-FILE-01
F4 | F4-CLOUD-01 | LINK ACTIVE -> F4-SW-02
F3 | F3-PC-02 | FLOW NORMAL -> F1-CAM-01
F2 | F2-PC-06 | DNS OK
F4 | F4-PC-02 | PACKETS RX 858
F4 | F4-FILE-02 | FLOW NORMAL -> F1-WIFI
F2 | F2-PRINTER-01 | LOGIN FAIL user=reception
F1 | F1-KIOSK | SESSION ACTIVE
F4 | F4-PC-03 | LINK ACTIVE -> F5-CORE-SW
F2 | F2-PRINTER-03 | FILE WRITE
F2 | F2-PC-04 | AUTH OK user=staff
F3 | F3-PC-01 | AUTH OK user=staff
F4 | F4-DEV-03 | AUTH FAIL user=reception
F3 | F3-PC-03 | SESSION ACTIVE
F3 | F3-PC-08 | PACKETS TX 467
F2 | F2-PRINTER-01 | DNS OK
F4 | F4-SW-02 | FILE WRITE
F2 | F2-PRINTER-03 | LOGIN OK user=admin
F3 | F3-CLOUD | ACCESS OK
F3 | F3-PC-01 | HEARTBEAT OK
F2 | F2-WIFI | FILE READ
F3 | F3-FILE-01 | FILE READ
F5 | F5-CORE-SW | LOGIN OK user=guest
F2 | F2-PC-05 | FLOW NORMAL -> F1-CAM-03
F3 | F3-PC-03 | AUTH FAIL user=dev
F5 | F5-FINANCE | FILE READ
F2 | F2-PC-08 | LINK ACTIVE -> F5-AUDIT
F2 | F2-PRINTER-04 | SYNC OK
F2 | F2-PC-07 | SYNC OK
F1 | F1-CAM-03 | AUTH OK user=staff
F5 | F5-CORE-SW | AUTH OK user=admin
F5 | F5-DOMAIN | AUTH OK user=admin
F3 | F3-PC-07 | PACKETS TX 566
F2 | F2-PC-08 | SESSION ACTIVE
F1 | F1-CAM-02 | FILE WRITE
F5 | F5-FILE | DNS OK
F2 | F2-PC-08 | SYNC OK
F2 | F2-PC-02 | FLOW NORMAL -> F4-SW-01
F2 | F2-BADGE | FILE WRITE
F5 | F5-FIREWALL | AUTH OK user=admin
F4 | F4-CLOUD-01 | SESSION ACTIVE
F3 | F3-PC-09 | PACKETS TX 34
F1 | F1-CAM-01 | HEARTBEAT OK
F1 | F1-BADGE | HEARTBEAT OK
F1 | F1-BADGE | AUTH OK user=admin
F2 | F2-PRINTER-02 | AUTH OK user=guest
F2 | F2-SWITCH | LOGIN FAIL user=guest
F4 | F4-SW-01 | DEVICE IDLE
F1 | F1-CAM-04 | HEARTBEAT OK
F2 | F2-PC-10 | DEVICE IDLE
F3 | F3-CLOUD | FILE READ
F2 | F2-PC-05 | PACKETS RX 774
F3 | F3-FILE-01 | ACCESS OK
F2 | F2-PRINTER-01 | AUTH OK user=dev
F2 | F2-PC-09 | LOGIN FAIL user=admin
F5 | F5-FILE | AUTH OK user=staff
F2 | F2-PRINTER-03 | PACKETS RX 517
F1 | F1-CAM-02 | PACKETS TX 392
F5 | F5-BADGE | LINK ACTIVE -> F5-APP
F4 | F4-FILE-02 | LOGIN OK user=guest
F1 | F1-CAM-02 | LINK ACTIVE -> F1-KIOSK
F3 | F3-PC-07 | SYNC OK
F4 | F4-PC-04 | DEVICE IDLE
F3 | F3-SWITCH | AUTH OK user=admin
F5 | F5-AUDIT | ACCESS OK
F5 | F5-DOMAIN | FLOW NORMAL -> F4-DEV-01
F4 | F4-PC-04 | AUTH FAIL user=staff
F4 | F4-DEV-02 | FLOW NORMAL -> F3-PC-08
F5 | F5-BACKUP | SYNC OK
F3 | F3-PRINTER-01 | DEVICE IDLE
F1 | F1-CAM-03 | DEVICE IDLE
F3 | F3-FILE-03 | SESSION ACTIVE
F4 | F4-PC-04 | LINK ACTIVE -> F1-CAM-02
F5 | F5-BADGE | LINK ACTIVE -> F4-DEV-02
F3 | F3-BADGE | SYNC OK
F4 | F4-DEV-02 | LOGIN OK user=dev
F4 | F4-PC-01 | HEARTBEAT OK
F5 | F5-DOMAIN | SESSION ACTIVE
F2 | F2-PC-07 | AUTH OK user=guest
F3 | F3-PC-08 | LINK ACTIVE -> F2-PC-06
F4 | F4-PC-06 | ACCESS OK
F5 | F5-DOMAIN | AUTH FAIL user=dev
F5 | F5-DOMAIN | HEARTBEAT OK
F3 | F3-PC-07 | ACCESS OK
F2 | F2-PRINTER-03 | LOGIN FAIL user=reception
F3 | F3-PC-05 | DNS OK
F4 | F4-PC-04 | DNS OK
F5 | F5-DOMAIN | AUTH OK user=reception
F3 | F3-PC-08 | SYNC OK
F2 | F2-PC-10 | AUTH OK user=staff
F4 | F4-DEV-01 | PACKETS RX 747
F2 | F2-PRINTER-02 | PACKETS RX 421
F3 | F3-FILE-02 | SESSION ACTIVE
F1 | F1-RECEPTION-02 | SYNC OK
F4 | F4-DEV-03 | FLOW NORMAL -> F4-PC-03
F5 | F5-DOMAIN | FILE WRITE
F3 | F3-PC-01 | AUTH FAIL user=admin
F3 | F3-PC-06 | AUTH OK user=reception
F1 | F1-CAM-02 | FILE READ
F3 | F3-FILE-01 | FILE READ
F2 | F2-PRINTER-01 | DEVICE IDLE
F4 | F4-PC-03 | PACKETS RX 891
F1 | F1-CAM-02 | SESSION ACTIVE
F4 | F4-DEV-01 | SYNC OK
F4 | F4-PC-03 | PACKETS TX 560
F2 | F2-PRINTER-04 | PACKETS RX 200
F1 | F1-RECEPTION-02 | AUTH OK user=reception
F4 | F4-PC-04 | PACKETS RX 425
F3 | F3-PC-09 | PACKETS RX 529
F5 | F5-DOMAIN | HEARTBEAT OK
F3 | F3-PC-02 | AUTH FAIL user=admin
F3 | F3-PC-04 | SESSION ACTIVE
F3 | F3-PC-09 | PACKETS TX 746
F2 | F2-PC-08 | LOGIN OK user=dev
F1 | F1-CAM-04 | PACKETS TX 42
F3 | F3-FILE-01 | LINK ACTIVE -> F3-FILE-01
F3 | F3-PC-04 | DNS OK
F3 | F3-PC-01 | DNS OK
F4 | F4-PC-01 | DNS OK
F5 | F5-DOMAIN | ACCESS OK
F3 | F3-CLOUD | AUTH FAIL user=reception
F3 | F3-PC-02 | FLOW NORMAL -> F2-PC-04
F2 | F2-PC-02 | AUTH FAIL user=dev
F4 | F4-CLOUD-01 | LOGIN OK user=guest
F5 | F5-FIREWALL | LINK ACTIVE -> F2-WIFI
F3 | F3-PC-04 | AUTH OK user=staff
F5 | F5-HR | DNS OK
F2 | F2-PC-08 | FILE READ
F3 | F3-PRINTER-01 | SYNC OK
F1 | F1-CAM-02 | FILE WRITE
F1 | F1-CAM-01 | AUTH OK user=guest
F5 | F5-APP | LOGIN FAIL user=admin
F4 | F4-PC-05 | AUTH FAIL user=reception
F5 | F5-APP | FILE WRITE
F5 | F5-DOMAIN | HEARTBEAT OK
F1 | F1-RECEPTION-01 | SESSION ACTIVE
F3 | F3-BADGE | HEARTBEAT OK
F1 | F1-BADGE | AUTH FAIL user=admin
F4 | F4-DEV-03 | AUTH FAIL user=dev
F2 | F2-PC-07 | HEARTBEAT OK
F3 | F3-PC-05 | FILE READ
F3 | F3-PRINTER-02 | LOGIN FAIL user=reception
F3 | F3-PC-07 | PACKETS RX 846
F2 | F2-PC-06 | FILE WRITE
F1 | F1-KIOSK | DNS OK
F4 | F4-PC-06 | DEVICE IDLE
F4 | F4-BADGE | FLOW NORMAL -> F1-CAM-04
F2 | F2-BADGE | PACKETS RX 622
F2 | F2-BADGE | AUTH FAIL user=dev
F3 | F3-PC-10 | AUTH FAIL user=dev
F3 | F3-FILE-01 | SYNC OK
F3 | F3-PC-03 | FILE READ
F5 | F5-DOMAIN | LOGIN FAIL user=admin
F1 | F1-BADGE | FLOW NORMAL -> F4-DEV-02
F2 | F2-SWITCH | SESSION ACTIVE
F2 | F2-PRINTER-01 | DNS OK
F5 | F5-APP | FLOW NORMAL -> F2-BADGE
F3 | F3-PC-04 | LOGIN OK user=admin
F3 | F3-PRINTER-02 | PACKETS TX 432
F2 | F2-BADGE | AUTH OK user=admin
F1 | F1-CAM-01 | PACKETS RX 137
F5 | F5-AUDIT | FILE WRITE
F1 | F1-CAM-02 | DEVICE IDLE
F1 | F1-RECEPTION-02 | PACKETS TX 247
F5 | F5-HR | FILE READ
F4 | F4-FILE-01 | FILE WRITE
F1 | F1-CAM-02 | AUTH FAIL user=guest
F2 | F2-PC-07 | FILE WRITE
F1 | F1-RECEPTION-02 | LINK ACTIVE -> F2-SWITCH
F1 | F1-CAM-04 | DNS OK
F4 | F4-PC-02 | FILE READ
F4 | F4-PC-06 | AUTH OK user=guest
F4 | F4-PC-05 | FLOW NORMAL -> F4-CLOUD-01
F2 | F2-BADGE | PACKETS TX 767
F3 | F3-PC-01 | AUTH FAIL user=staff
F3 | F3-PC-01 | ACCESS OK
F3 | F3-SWITCH | DEVICE IDLE
F1 | F1-CAM-03 | FILE WRITE
F5 | F5-BACKUP | SESSION ACTIVE
F4 | F4-FILE-02 | AUTH FAIL user=reception
F5 | F5-FILE | FILE WRITE
F2 | F2-PC-09 | DNS OK
F5 | F5-DOMAIN | ACCESS OK
F3 | F3-FILE-01 | LINK ACTIVE -> F2-PC-05
F3 | F3-PC-04 | PACKETS RX 571
F1 | F1-KIOSK | LOGIN OK user=staff
F3 | F3-SWITCH | PACKETS RX 247
F5 | F5-FINANCE | FLOW NORMAL -> F4-DEV-02
F1 | F1-CAM-02 | DNS OK
F3 | F3-PC-03 | DEVICE IDLE
F2 | F2-PC-06 | LINK ACTIVE -> F2-PC-04
F4 | F4-PC-03 | LOGIN OK user=guest
F1 | F1-CAM-03 | DEVICE IDLE
F1 | F1-WIFI | PACKETS RX 296
F2 | F2-PRINTER-04 | HEARTBEAT OK
F4 | F4-SW-02 | ACCESS OK
F2 | F2-PRINTER-02 | FILE READ
F4 | F4-DEV-03 | FILE READ
F3 | F3-FILE-01 | LOGIN OK user=guest
F5 | F5-AUDIT | PACKETS RX 152
F5 | F5-CORE-SW | DEVICE IDLE
F4 | F4-PC-05 | SYNC OK
F2 | F2-PC-09 | PACKETS TX 582
F2 | F2-PC-04 | PACKETS RX 25
F5 | F5-APP | PACKETS RX 587
F2 | F2-SWITCH | SESSION ACTIVE
F2 | F2-SWITCH | AUTH FAIL user=staff
F3 | F3-PC-02 | PACKETS RX 803
F2 | F2-PC-09 | FILE WRITE
F4 | F4-DEV-01 | LINK ACTIVE -> F4-DEV-02
F1 | F1-RECEPTION-02 | LOGIN FAIL user=staff
F4 | F4-PC-06 | AUTH FAIL user=reception
F4 | F4-DEV-03 | HEARTBEAT OK
F4 | F4-SW-01 | SESSION ACTIVE
F3 | F3-PC-01 | PACKETS RX 579
F3 | F3-PC-03 | SYNC OK
F3 | F3-PRINTER-01 | DEVICE IDLE
F3 | F3-PC-05 | FLOW NORMAL -> F1-RECEPTION-02
F3 | F3-PC-10 | HEARTBEAT OK
F4 | F4-BADGE | FILE WRITE
F2 | F2-PC-06 | FLOW NORMAL -> F4-FILE-02
F3 | F3-SWITCH | HEARTBEAT OK
F2 | F2-PC-09 | FILE READ
F4 | F4-PC-01 | FLOW NORMAL -> F4-FILE-02
F3 | F3-PC-08 | AUTH OK user=dev
F4 | F4-PC-04 | FILE READ
F4 | F4-BADGE | FILE WRITE
F2 | F2-BADGE | DNS OK
F1 | F1-RECEPTION-01 | LOGIN FAIL user=reception
F2 | F2-PC-03 | FLOW NORMAL -> F2-SWITCH
F5 | F5-DOMAIN | PACKETS TX 589
F3 | F3-SWITCH | AUTH FAIL user=admin
F2 | F2-SWITCH | ACCESS OK
F4 | F4-DEV-01 | FLOW NORMAL -> F3-PC-04
F3 | F3-FILE-03 | ACCESS OK
F1 | F1-CAM-02 | HEARTBEAT OK
F2 | F2-PRINTER-02 | LOGIN FAIL user=staff
F1 | F1-KIOSK | HEARTBEAT OK
F5 | F5-BACKUP | FILE WRITE
F4 | F4-PC-06 | FILE READ
F1 | F1-WIFI | LINK ACTIVE -> F2-PC-05
F4 | F4-PC-05 | DNS OK
F2 | F2-BADGE | AUTH OK user=staff
F3 | F3-PRINTER-02 | HEARTBEAT OK
F1 | F1-CAM-03 | AUTH OK user=reception
F5 | F5-DOMAIN | LINK ACTIVE -> F3-PC-09
F2 | F2-PC-01 | PACKETS RX 648
F2 | F2-BADGE | PACKETS TX 59
F4 | F4-CLOUD-01 | FILE WRITE
F2 | F2-PRINTER-03 | DNS OK
F4 | F4-SW-01 | FILE WRITE
F2 | F2-PC-09 | LINK ACTIVE -> F4-PC-03
F3 | F3-PC-02 | ACCESS OK
F3 | F3-PC-08 | HEARTBEAT OK
F5 | F5-HR | LOGIN OK user=reception
F3 | F3-PC-10 | FILE READ
F2 | F2-PRINTER-01 | LINK ACTIVE -> F4-SW-02
F2 | F2-PC-08 | FILE READ
F4 | F4-DEV-02 | FLOW NORMAL -> F2-PC-08
F4 | F4-BADGE | HEARTBEAT OK
F2 | F2-PC-02 | LOGIN FAIL user=reception
F4 | F4-PC-05 | LINK ACTIVE -> F2-PRINTER-01
F1 | F1-WIFI | ACCESS OK
F1 | F1-RECEPTION-02 | FILE READ
F5 | F5-DOMAIN | ACCESS OK
F1 | F1-WIFI | DNS OK
F2 | F2-WIFI | DNS OK
F4 | F4-CLOUD-01 | SYNC OK
F2 | F2-PC-02 | FLOW NORMAL -> F3-CLOUD
F4 | F4-PC-01 | SESSION ACTIVE
F2 | F2-WIFI | DEVICE IDLE
F4 | F4-DEV-01 | AUTH FAIL user=reception
F5 | F5-FIREWALL | AUTH OK user=reception
F1 | F1-RECEPTION-01 | DNS OK
F2 | F2-PRINTER-02 | AUTH FAIL user=guest
F2 | F2-PRINTER-01 | HEARTBEAT OK
F4 | F4-PC-04 | AUTH FAIL user=staff
F4 | F4-FILE-01 | SYNC OK
F5 | F5-BACKUP | PACKETS TX 139
F4 | F4-CLOUD-02 | LOGIN FAIL user=dev
F4 | F4-BADGE | FILE READ
F2 | F2-PC-06 | DNS OK
F3 | F3-PC-01 | LOGIN OK user=guest
F5 | F5-FIREWALL | PACKETS RX 318
F3 | F3-PC-07 | LINK ACTIVE -> F2-PRINTER-02
F3 | F3-PRINTER-01 | LINK ACTIVE -> F2-PC-09
F4 | F4-PC-06 | PACKETS RX 526
F1 | F1-CAM-02 | AUTH FAIL user=reception
F3 | F3-PC-09 | PACKETS RX 58
F3 | F3-PC-04 | LOGIN OK user=staff
F3 | F3-PC-06 | AUTH FAIL user=reception
F5 | F5-BADGE | AUTH FAIL user=staff
F4 | F4-CLOUD-02 | LOGIN FAIL user=dev
F2 | F2-PRINTER-02 | SESSION ACTIVE
F2 | F2-BADGE | HEARTBEAT OK
F2 | F2-PRINTER-01 | AUTH OK user=reception
F5 | F5-CORE-SW | SESSION ACTIVE
F2 | F2-PC-04 | DNS OK
F3 | F3-PC-07 | FILE WRITE
F2 | F2-PRINTER-02 | PACKETS TX 756
F5 | F5-FILE | LOGIN OK user=staff
F4 | F4-FILE-01 | SYNC OK
F5 | F5-FIREWALL | SYNC OK
F2 | F2-PC-05 | SESSION ACTIVE
F5 | F5-FIREWALL | PACKETS TX 422
F1 | F1-BADGE | PACKETS TX 238
F4 | F4-SW-02 | HEARTBEAT OK
F5 | F5-HR | FILE WRITE
F4 | F4-DEV-01 | AUTH FAIL user=reception
F5 | F5-FINANCE | LINK ACTIVE -> F4-DEV-01
F5 | F5-HR | SYNC OK
F4 | F4-DEV-01 | FLOW NORMAL -> F1-RECEPTION-01
F4 | F4-PC-02 | HEARTBEAT OK
F4 | F4-PC-04 | FLOW NORMAL -> F2-PC-01
F2 | F2-PRINTER-02 | SESSION ACTIVE
F3 | F3-PC-02 | DEVICE IDLE
F3 | F3-PRINTER-01 | SESSION ACTIVE
F2 | F2-PC-02 | FILE READ
F4 | F4-PC-02 | HEARTBEAT OK
F3 | F3-PRINTER-02 | LOGIN OK user=guest
F3 | F3-PC-07 | FILE READ
F2 | F2-PC-10 | AUTH OK user=dev
F2 | F2-PRINTER-03 | AUTH OK user=dev
F2 | F2-PC-08 | PACKETS TX 585
F4 | F4-PC-06 | LOGIN OK user=dev
F1 | F1-CAM-02 | ACCESS OK
F3 | F3-PC-04 | FILE WRITE
F5 | F5-FIREWALL | PACKETS RX 806
F5 | F5-FIREWALL | HEARTBEAT OK
F2 | F2-PRINTER-01 | FLOW NORMAL -> F1-CAM-01
F3 | F3-PRINTER-02 | LINK ACTIVE -> F3-PC-03
F5 | F5-FIREWALL | FILE WRITE
F3 | F3-PC-06 | PACKETS RX 667
F2 | F2-PC-07 | PACKETS RX 624
F3 | F3-SWITCH | AUTH OK user=guest
F3 | F3-PC-10 | DEVICE IDLE
F4 | F4-SW-02 | LOGIN OK user=guest
F4 | F4-SW-01 | AUTH OK user=admin
F2 | F2-PRINTER-03 | SYNC OK
F5 | F5-FIREWALL | FILE READ
F4 | F4-SW-02 | FILE READ
F5 | F5-FINANCE | DNS OK
F5 | F5-FIREWALL | SESSION ACTIVE
F1 | F1-BADGE | LOGIN OK user=admin
F4 | F4-PC-04 | AUTH OK user=dev
F1 | F1-WIFI | LOGIN OK user=reception
F5 | F5-CORE-SW | LOGIN FAIL user=reception
F5 | F5-FIREWALL | FLOW NORMAL -> F4-FILE-02
F5 | F5-APP | LOGIN FAIL user=staff
F2 | F2-PC-07 | PACKETS TX 532
F2 | F2-WIFI | LOGIN FAIL user=guest
F5 | F5-CORE-SW | PACKETS TX 701
F5 | F5-DOMAIN | HEARTBEAT OK
F4 | F4-DEV-01 | SESSION ACTIVE
F3 | F3-PC-04 | DEVICE IDLE
F1 | F1-CAM-03 | ACCESS OK
F1 | F1-BADGE | DEVICE IDLE
F4 | F4-PC-05 | FILE READ
F3 | F3-PRINTER-02 | LOGIN OK user=dev
F1 | F1-CAM-01 | HEARTBEAT OK
F2 | F2-PC-06 | SESSION ACTIVE
F3 | F3-PC-09 | SESSION ACTIVE
F3 | F3-SWITCH | DEVICE IDLE
F3 | F3-PC-08 | ACCESS OK
F2 | F2-PRINTER-04 | FILE READ
F4 | F4-CLOUD-01 | FILE READ
F2 | F2-WIFI | FLOW NORMAL -> F4-PC-01
F3 | F3-FILE-01 | SESSION ACTIVE
F3 | F3-PC-05 | FLOW NORMAL -> F5-CORE-SW
F3 | F3-PC-08 | FILE READ
F3 | F3-PC-02 | DNS OK
F5 | F5-FIREWALL | AUTH FAIL user=admin
F4 | F4-DEV-01 | SESSION ACTIVE
F3 | F3-PC-07 | AUTH OK user=admin
F2 | F2-PRINTER-04 | PACKETS TX 743
F5 | F5-FINANCE | SESSION ACTIVE
F3 | F3-SWITCH | FILE READ
F2 | F2-PRINTER-02 | SESSION ACTIVE
F4 | F4-DEV-01 | SYNC OK
F3 | F3-PC-02 | PACKETS TX 546
F4 | F4-PC-03 | AUTH FAIL user=staff
F5 | F5-APP | AUTH FAIL user=dev
F4 | F4-PC-06 | DEVICE IDLE
F4 | F4-PC-02 | HEARTBEAT OK
F5 | F5-FILE | ACCESS OK
F4 | F4-PC-05 | PACKETS TX 20
F3 | F3-PRINTER-01 | LOGIN FAIL user=admin
F3 | F3-PC-07 | SYNC OK
F1 | F1-KIOSK | DNS OK
F3 | F3-FILE-03 | AUTH FAIL user=dev
F2 | F2-BADGE | AUTH FAIL user=reception
F5 | F5-FINANCE | SESSION ACTIVE
F1 | F1-CAM-03 | DNS OK
F5 | F5-AUDIT | PACKETS TX 599
F3 | F3-PC-04 | ACCESS OK
F1 | F1-CAM-01 | AUTH OK user=admin
F3 | F3-BADGE | FILE READ
F3 | F3-FILE-03 | AUTH OK user=admin
F3 | F3-FILE-01 | LOGIN OK user=guest
F3 | F3-PRINTER-01 | PACKETS TX 211
F2 | F2-PC-04 | DNS OK
F2 | F2-PRINTER-03 | DEVICE IDLE
F3 | F3-PC-01 | FILE WRITE
F5 | F5-BADGE | AUTH FAIL user=staff
F4 | F4-FILE-01 | LOGIN OK user=admin
F1 | F1-CAM-02 | HEARTBEAT OK
F3 | F3-PC-08 | FLOW NORMAL -> F2-PC-04
F3 | F3-PC-10 | AUTH OK user=guest
F4 | F4-PC-01 | SESSION ACTIVE
F4 | F4-CLOUD-01 | FILE READ
F5 | F5-DOMAIN | AUTH FAIL user=dev
F5 | F5-DOMAIN | LOGIN FAIL user=dev
F1 | F1-CAM-04 | FLOW NORMAL -> F5-FINANCE
F1 | F1-KIOSK | ACCESS OK
F4 | F4-PC-02 | FLOW NORMAL -> F3-PC-04
F5 | F5-BACKUP | DEVICE IDLE
F4 | F4-DEV-01 | SESSION ACTIVE
F2 | F2-PC-08 | PACKETS TX 574
F4 | F4-FILE-01 | FILE WRITE
F1 | F1-CAM-04 | PACKETS TX 888
F5 | F5-APP | FILE WRITE
F4 | F4-SW-02 | LOGIN OK user=admin
F3 | F3-FILE-02 | SESSION ACTIVE
F2 | F2-PC-08 | LOGIN FAIL user=admin
F5 | F5-BACKUP | PACKETS TX 762
F3 | F3-PC-09 | PACKETS TX 754
F4 | F4-FILE-01 | DEVICE IDLE
F3 | F3-CLOUD | PACKETS RX 186
F5 | F5-APP | FLOW NORMAL -> F3-FILE-02
F2 | F2-PC-06 | AUTH OK user=reception
F3 | F3-PRINTER-02 | HEARTBEAT OK
F2 | F2-PC-08 | HEARTBEAT OK
F1 | F1-CAM-02 | LINK ACTIVE -> F2-PC-10
F3 | F3-FILE-03 | DEVICE IDLE
F3 | F3-PC-03 | SYNC OK
F2 | F2-BADGE | SYNC OK
F2 | F2-PC-07 | AUTH FAIL user=admin
F3 | F3-CLOUD | AUTH OK user=staff
F1 | F1-KIOSK | PACKETS TX 352
F5 | F5-FINANCE | LINK ACTIVE -> F5-AUDIT
F3 | F3-BADGE | FILE WRITE
F2 | F2-PRINTER-04 | AUTH FAIL user=admin
F3 | F3-FILE-02 | PACKETS RX 875
F5 | F5-AUDIT | FILE READ
F4 | F4-PC-05 | LOGIN FAIL user=staff
F5 | F5-HR | SYNC OK
F4 | F4-FILE-01 | LOGIN OK user=reception
F3 | F3-FILE-01 | FILE WRITE
F2 | F2-PC-10 | HEARTBEAT OK
F2 | F2-PC-07 | DEVICE IDLE
F5 | F5-BACKUP | SESSION ACTIVE
F4 | F4-PC-03 | PACKETS RX 218
F1 | F1-WIFI | DNS OK
F2 | F2-PRINTER-03 | AUTH FAIL user=staff
F2 | F2-SWITCH | AUTH OK user=staff
